Player,Team,Pos,PTS
Trayce Jackson-Davis,GSW,C,14.8
Matt Ryan,NYK,SF,14.8
Noah Clowney,BRK,PF,14.7
Antonio Reeves,NOP,SG,14.7
Sidy Cissoko,SAS,SF,14.7
Fred VanVleet,HOU,PG,14.6
Dennis Schröder,GSW,SG,14.6
Ayo Dosunmu,CHI,SG,14.6
Ziaire Williams,BRK,SF,14.6
Shake Milton,BRK,SG,14.6
Doug McDermott,SAC,SF,14.6
Devin Carter,SAC,PG,14.6
AJ Johnson,2TM,SG,14.6
Guerschon Yabusele,PHI,C,14.5
Jaime Jaquez Jr.,MIA,SF,14.5
Ron Holland,DET,SF,14.5
Nick Richards,PHO,C,14.5
Jose Alvarado,NOP,PG,14.5
Quenton Jackson,IND,PG,14.5
Amir Coffey,LAC,SG,14.4
Spencer Dinwiddie,DAL,PG,14.4
Terance Mann,ATL,SG,14.4
Nick Smith Jr.,CHO,SG,14.4
Bogdan Bogdanović,ATL,SG,14.4
Jaylen Nowell,NOP,SG,14.4
Lamar Stevens,MEM,PF,14.4
Keion Brooks Jr.,NOP,SF,14.4
Jamaree Bouyea,MIL,PG,14.4
Max Christie,DAL,SG,14.3
Brandin Podziemski,GSW,SG,14.3
Jabari Walker,POR,SF,14.3
Brook Lopez,MIL,C,14.2
Andre Drummond,PHI,C,14.2
Jusuf Nurkić,CHO,C,14.2
Tosan Evbuomwan,BRK,SF,14.2
Ryan Rollins,MIL,PG,14.2
Bruno Fer0ndo,TOR,C,14.2
Tyrese Martin,BRK,SG,14.1
Zach Collins,SAS,C,14.1
Aaron Holiday,HOU,PG,14.1
Kevin Huerter,2TM,SG,14
Kenrich Williams,OKC,PF,14
Ajay Mitchell,OKC,SG,14
Pat Spencer,GSW,PG,14
Oscar Tshiebwe,UTA,C,14
Mitchell Robinson,NYK,C,14
Isaiah Hartenstein,OKC,C,13.9
Shake Milton,2TM,SG,13.9
Dominick Barlow,ATL,SF,13.9
Markelle Fultz,SAC,PG,13.9
Josh Hart,NYK,SG,13.8
Jaden McDaniels,MIN,PF,13.8
Ja'Kobe Walter,TOR,SG,13.8
Patty Mills,LAC,PG,13.8
Mouhamed Gueye,ATL,PF,13.8
Royce O'Neale,PHO,SF,13.7
Miles McBride,NYK,PG,13.7
Dereck Lively II,DAL,C,13.7
Lindy Waters III,DET,SG,13.7
Yuki Kawamura,MEM,PG,13.7
Adama Sanogo,CHI,C,13.7
Walker Kessler,UTA,C,13.6
Jabari Smith Jr.,HOU,PF,13.6
Drew Eubanks,UTA,C,13.6
Jett Howard,ORL,SF,13.6
Jock Landale,HOU,C,13.6
Markieff Morris,2TM,PF,13.6
Nic Claxton,BRK,C,13.5
Anthony Black,ORL,PG,13.5
Kevin Huerter,SAC,SG,13.5
Tristen Newton,IND,SG,13.5
Drew Eubanks,2TM,C,13.4
Monte Morris,PHO,PG,13.4
David Roddy,2TM,PF,13.4
Torrey Craig,BOS,SF,13.4
Sidy Cissoko,2TM,SF,13.4
Jackson Rowe,GSW,PF,13.4
Bilal Coulibaly,WAS,SF,13.3
Tim Hardaway Jr.,DET,SG,13.3
Ochai Agbaji,TOR,SG,13.3
Jusuf Nurkić,2TM,C,13.3
Nickeil Alexander-Walker,MIN,SG,13.2
Sam Merrill,CLE,SG,13.2
Tyus Jones,PHO,PG,13.1
Jusuf Nurkić,PHO,C,13.1
Mo Bamba,LAC,C,13.1
Jordan Goodwin,LAL,PG,13.1
Jrue Holiday,BOS,PG,13
Sam Hauser,BOS,PF,13
Jordan Miller,LAC,SF,13
Lonnie Walker IV,PHI,SG,13
Dorian Finney-Smith,BRK,PF,12.9
Alec Burks,MIA,SG,12.9
Tyler Kolek,NYK,PG,12.9
Adam Flagler,OKC,SG,12.9
Kylor Kelley,DAL,C,12.9
Keegan Murray,SAC,PF,12.8
Andrew Nembhard,IND,SG,12.8
Goga Bitadze,ORL,C,12.8
Jarace Walker,IND,PF,12.8
Max Strus,CLE,SF,12.8
Neemias Queta,BOS,C,12.8
Thomas Bryant,MIA,C,12.8
Bruce Brown,2TM,PG,12.8
Josh Minott,MIN,SF,12.8
Cam Christie,LAC,SG,12.8
Max Christie,2TM,SG,12.7
Keon Ellis,SAC,SG,12.7
Wendell Carter Jr.,ORL,C,12.7
Simone Fontecchio,DET,SF,12.7
Vasilije Micić,CHO,PG,12.7
Reggie Jackson,PHI,PG,12.7
David Roddy,ATL,PF,12.7
Jalen Wilson,BRK,PF,12.6
Jake LaRavia,MEM,PF,12.6
Jo0than Isaac,ORL,PF,12.6
Vasilije Micić,2TM,PG,12.6
Kyle Anderson,GSW,PF,12.6
KJ Simpson,CHO,PG,12.6
A.J. Green,MIL,SG,12.5
Patrick Williams,CHI,PF,12.5
Eric Gordon,PHI,SG,12.5
Grant Williams,CHO,PF,12.5
Ousmane Dieng,OKC,C,12.5
Bismack Biyombo,SAS,C,12.5
Jamal Shead,TOR,PG,12.4
Lonzo Ball,CHI,PG,12.4
Justin Edwards,PHI,SF,12.4
Olivier-Maxence Prosper,DAL,PF,12.4
Ryan Dunn,PHO,SF,12.3
Donovan Clingan,POR,C,12.3
Shake Milton,LAL,SG,12.3
Kyle Anderson,2TM,PF,12.3
Keaton Wallace,ATL,PG,12.3
Blake Wesley,SAS,SG,12.3
Max Christie,LAL,SG,12.2
Craig Porter Jr.,CLE,PG,12.2
Jeff Dowtin,PHI,PG,12.2
Kai Jones,2TM,C,12.2
Jake LaRavia,2TM,PF,12.1
Trey Lyles,SAC,PF,12.1
Jaxson Hayes,LAL,C,12.1
Tre Jones,2TM,PG,12.1
Jaylon Tyson,CLE,SG,12.1
Luguentz Dort,OKC,SF,12
Orlando Robinson,SAC,C,12
Killian Hayes,BRK,PG,12
AJ Johnson,WAS,SG,12
Jared Rhoden,CHO,SG,12
RayJ Dennis,IND,PG,12
Rudy Gobert,MIN,C,11.9
Tristan Da Silva,ORL,SF,11.9
Peyton Watson,DEN,SF,11.9
Jeremiah Robinson-Earl,NOP,PF,11.9
Vit Krejci,ATL,PG,11.9
Zeke N0ji,DEN,PF,11.9
Robert Williams,POR,C,11.9
Orlando Robinson,2TM,C,11.9
Orlando Robinson,TOR,C,11.9
Johnny Davis,WAS,SG,11.9
Cam Spencer,MEM,SG,11.9
Toumani Camara,POR,PF,11.8
Terance Mann,2TM,SG,11.8
Bronny James,LAL,SG,11.8
Mike Conley,MIN,PG,11.7
Julian Phillips,CHI,SF,11.7
Drew Eubanks,LAC,C,11.7
Reed Sheppard,HOU,PG,11.7
Wendell Moore Jr.,CHO,SG,11.7
Dru Smith,MIA,SG,11.7
Elfrid Payton,NOP,PG,11.7
Anthony Gill,WAS,PF,11.7
PJ Hall,DEN,C,11.7
Yves Missi,NOP,C,11.6
Lindy Waters III,2TM,SG,11.6
Landry Shamet,NYK,SG,11.6
Ben Simmons,LAC,PG,11.5
Alex Caruso,OKC,SG,11.5
Dalen Terry,CHI,SG,11.5
Lindy Waters III,GSW,SG,11.5
KJ Martin,2TM,PF,11.5
KJ Martin,PHI,PF,11.5
KJ Martin,UTA,SF,11.5
Jaylin Williams,OKC,PF,11.5
Jaden Springer,BOS,SG,11.5
Cody Martin,CHO,SF,11.4
Kyle Anderson,MIA,SF,11.4
Herbert Jones,NOP,SF,11.4
Karlo Matković,NOP,PF,11.4
Jaden Springer,2TM,SG,11.4
Kevon Looney,GSW,C,11.3
Pelle Larsson,MIA,SG,11.3
Trevelin Queen,ORL,SG,11.3
Jaden Springer,UTA,PG,11.3
Bub Carrington,WAS,PG,11.2
Chris Paul,SAS,PG,11.2
Kyshawn George,WAS,SG,11.2
Draymond Green,GSW,PF,11.2
Jae'Sean Tate,HOU,SF,11.2
Davion Mitchell,MIA,PG,11.1
Precious Achiuwa,NYK,C,11.1
Delon Wright,NYK,PG,11.1
JD Davison,BOS,PG,11.1
Isaiah Collier,UTA,PG,11
Terance Mann,LAC,SG,11
Kobe Brown,LAC,PF,11
Colin Castleton,MEM,C,11
Al Horford,BOS,C,10.9
Gui Santos,GSW,PF,10.9
Jalen Pickett,DEN,SG,10.9
Damion Baugh,CHO,SG,10.9
Alex Ducas,OKC,SG,10.9
Taurean Prince,MIL,SF,10.8
Jaylen Clark,MIN,SG,10.8
TyTy Washington Jr.,PHO,PG,10.8
Taze Moore,POR,SG,10.8
Cui Yongxi,BRK,SG,10.8
Quincy Olivari,LAL,PG,10.8
Caleb Martin,PHI,SF,10.7
Jo0than Mogbo,TOR,PF,10.7
Kris Murray,POR,SF,10.7
Isaac Okoro,CLE,SG,10.7
Trey Jemison,LAL,C,10.7
Wendell Moore Jr.,2TM,SG,10.7
Dorian Finney-Smith,2TM,PF,10.6
Ben Sheppard,IND,SG,10.6
Patty Mills,2TM,PG,10.6
Kai Jones,LAC,C,10.6
Isaiah Stewart,DET,C,10.5
Luke Kornet,BOS,C,10.5
Rayan Rupert,POR,SG,10.5
Jordan McLaughlin,2TM,PG,10.5
Markieff Morris,DAL,PF,10.5
Isaiah Crawford,SAC,SF,10.5
Kentavious Caldwell-Pope,ORL,SG,10.4
DeAndre Jordan,DEN,C,10.4
Pat Con0ughton,MIL,SG,10.4
Wendell Moore Jr.,DET,SG,10.4
Moussa Diabaté,CHO,C,10.3
Jalen Hood-Schifino,LAL,SG,10.3
Cason Wallace,OKC,SG,10.2
Patty Mills,UTA,PG,10.2
Jamal Cain,NOP,SF,10.2
Adem Bo0,PHI,C,10.1
Keshad Johnson,MIA,SF,10.1
Steven Adams,HOU,C,10
Jordan McLaughlin,SAC,PG,10
David Duke Jr.,SAS,SG,10
Haywood Highsmith,MIA,SF,9.9
Gabe Vincent,LAL,PG,9.9
Hunter Tyson,DEN,PF,9.9
Drew Peterson,BOS,PF,9.9
Pacome Dadiet,NYK,SG,9.9
Javonte Green,2TM,SG,9.8
Tre Jones,SAS,PG,9.8
Maxwell Lewis,BRK,SF,9.8
Davion Mitchell,2TM,PG,9.7
Tidjane Salaün,CHO,PF,9.6
Cory Joseph,ORL,PG,9.6
Josh Green,CHO,SG,9.5
Javonte Green,NOP,SG,9.5
Vlatko Čančar,DEN,PF,9.5
Kris Dunn,LAC,PG,9.4
Daniel Theis,NOP,C,9.4
Trey Jemison,2TM,C,9.4
Jarred Vanderbilt,LAL,PF,9.4
Davion Mitchell,TOR,PG,9.3
Ben Simmons,2TM,PG,9.2
Dean Wade,CLE,PF,9.2
Taj Gibson,CHO,C,9.2
Christian Koloko,LAL,C,9.2
Dario Šarić,DEN,C,9.2
DaQuan Jeffries,CHO,SG,9
Caleb Houstan,ORL,SF,9
Jake LaRavia,SAC,PF,8.9
Ben Simmons,BRK,PG,8.9
Johnny Furphy,IND,SG,8.8
Dorian Finney-Smith,LAL,PF,8.7
Micah Potter,UTA,C,8.7
Dillon Jones,OKC,SF,8.7
James Johnson,IND,PF,8.7
Mason Plumlee,PHO,C,8.5
