Player,Team,Pos,TRB
Kyle Kuzma,WAS,PF,7.5
Jake LaRavia,MEM,PF,7.5
Obi Toppin,IND,PF,7.5
Paolo Banchero,ORL,PF,7.5
Ben Simmons,BRK,PG,7.5
Michael Porter Jr.,DEN,SF,7.4
Guerschon Yabusele,PHI,C,7.4
Jaime Jaquez Jr.,MIA,SF,7.4
Josh Okogie,PHO,SG,7.4
Vince Williams Jr.,MEM,SG,7.4
Pat Spencer,GSW,PG,7.4
Jake LaRavia,2TM,PF,7.3
Kyle Anderson,GSW,PF,7.3
David Roddy,ATL,PF,7.3
Ousmane Dieng,OKC,C,7.3
Jaren Jackson Jr.,MEM,C,7.2
Wendell Moore Jr.,DET,SG,7.2
Drew Peterson,BOS,PF,7.2
Taylor Hendricks,UTA,PF,7.2
Cui Yongxi,BRK,SG,7.2
Mac McClung,ORL,SG,7.2
James Wiseman,IND,C,7.2
Keegan Murray,SAC,PF,7.1
Ziaire Williams,BRK,SF,7.1
Dejounte Murray,NOP,PG,7.1
Kessler Edwards,DAL,SF,7.1
Wendell Moore Jr.,2TM,SG,7.1
Dominick Barlow,ATL,SF,7.1
Alex Ducas,OKC,SG,7.1
Maxwell Lewis,2TM,SF,7.1
Kevin Porter Jr.,MIL,SG,7
Jae'Sean Tate,HOU,SF,7
GG Jackson II,MEM,PF,7
Hunter Tyson,DEN,PF,7
Torrey Craig,BOS,SF,7
Baylor Scheierman,BOS,SG,7
Markieff Morris,DAL,PF,7
Colin Castleton,MEM,C,7
Cam Christie,LAC,SG,7
RJ Barrett,TOR,SF,6.9
Desmond Bane,MEM,SG,6.9
Royce O'Neale,PHO,SF,6.9
Lauri Markkanen,UTA,PF,6.9
Keldon Johnson,SAS,SF,6.9
Brandin Podziemski,GSW,SG,6.9
Jarace Walker,IND,PF,6.9
Jo0than Kuminga,GSW,PF,6.9
Bruce Brown,TOR,PG,6.9
Josh Okogie,2TM,SG,6.9
Jared Butler,PHI,SG,6.9
Duop Reath,POR,C,6.9
Wendell Moore Jr.,CHO,SG,6.8
Yuri Collins,GSW,PG,6.8
Tobias Harris,DET,PF,6.7
Matas Buzelis,CHI,SF,6.7
Cam Whitmore,HOU,SF,6.7
Bruce Brown,2TM,PG,6.7
Trendon Watford,BRK,PF,6.7
Jae Crowder,SAC,PF,6.7
Sidy Cissoko,SAS,SF,6.7
Jackson Rowe,GSW,PF,6.7
Jaden McDaniels,MIN,PF,6.6
Kevin Porter Jr.,2TM,SG,6.6
Cody Martin,CHO,SF,6.6
Andre Jackson Jr.,MIL,SG,6.6
Xavier Tillman Sr.,BOS,C,6.6
Toumani Camara,POR,PF,6.5
Russell Westbrook,DEN,PG,6.5
Georges Niang,CLE,PF,6.5
Kevin Porter Jr.,LAC,SG,6.5
Aaron Gordon,DEN,PF,6.5
Ryan Dunn,PHO,SF,6.5
Spencer Jones,DEN,SF,6.5
Harrison Ingram,SAS,SF,6.5
Kelly Oubre Jr.,PHI,SF,6.4
Bennedict Mathurin,IND,SF,6.4
Georges Niang,2TM,PF,6.4
Khris Middleton,WAS,SF,6.4
Bruce Brown,NOP,PG,6.4
Pat Con0ughton,MIL,SG,6.4
Jamal Cain,NOP,SF,6.4
MarJon Beauchamp,LAC,SF,6.4
Colby Jones,SAC,SG,6.4
Jared Rhoden,2TM,SG,6.4
Cade Cunningham,DET,PG,6.3
Georges Niang,ATL,PF,6.3
Simone Fontecchio,DET,SF,6.3
Kawhi Leo0rd,LAC,SF,6.3
Jaylen Brown,BOS,SF,6.2
Jimmy Butler,MIA,PF,6.2
Tyrese Martin,BRK,SG,6.2
Grant Williams,CHO,PF,6.2
Quentin Grimes,PHI,SG,6.1
0ji Marshall,DAL,SF,6.1
