Player,Team,Pos,PTS,TRB,AST
Keldon Johnson,SAS,SF,18.6,6.9,2.3
Cole Anthony,ORL,PG,18.6,6,5.5
Quentin Grimes,PHI,SG,18.5,6.1,3.8
Klay Thompson,DAL,SF,18.5,4.6,2.7
Bam Adebayo,MIA,C,18.4,10.5,4.6
Santi Aldama,MEM,PF,18.4,9.6,4.1
De'Anthony Melton,GSW,SG,18.4,6,5.1
Aaron Wiggins,OKC,SG,18.4,6,2.6
Payton Pritchard,BOS,PG,18.4,4.9,4.5
Branden Carlson,OKC,C,18.2,8.7,2
Myles Turner,IND,C,18.2,7.6,1.9
GG Jackson II,MEM,PF,18.2,7,2.5
Talen Horton-Tucker,CHI,SG,18.2,5.4,4.2
Andrew Wiggins,MIA,SF,18.2,4.9,3.4
Khris Middleton,WAS,SF,18.1,6.4,6.6
D'Angelo Russell,2TM,PG,18.1,3.8,7.1
Reece Beekman,GSW,PG,18,9,9
Alex Reese,2TM,PF,18,9,2.3
Trendon Watford,BRK,PF,18,6.7,4.1
Jack McVeigh,HOU,PF,18,5.1,1.3
Marcus Smart,WAS,PG,18,3.4,4
Jordan McLaughlin,SAS,PG,18,0,21
Paul George,PHI,PF,17.9,5.9,4.8
Zach Collins,CHI,PF,17.8,11.5,3.4
Derrick White,BOS,SG,17.8,4.5,4.5
Svi Mykhailiuk,UTA,SF,17.8,4.4,3.6
Kevin Love,MIA,PF,17.7,14,3.2
Ivica Zubac,LAC,C,17.7,13.9,2.8
Kevin Porter Jr.,2TM,SG,17.6,6.6,6.2
Buddy Hield,GSW,SG,17.6,5,2.5
Gradey Dick,TOR,SG,17.6,4.4,2.2
Cameron Payne,NYK,PG,17.6,3.6,6.7
Chris Duarte,CHI,SG,17.5,9.7,4.4
Torrey Craig,2TM,SF,17.5,7.6,1.6
Tari Eason,HOU,PF,17.4,9.2,2
Dennis Schröder,3TM,PG,17.4,3.4,6.9
Jared Butler,PHI,SG,17.3,6.9,8.2
Dante Exum,DAL,PG,17.3,3,6.2
Deandre Ayton,POR,C,17.2,12.1,1.9
Onyeka Okongwu,ATL,C,17.2,11.4,3
Aaron Gordon,DEN,PF,17.2,6.5,4.2
Kevin Porter Jr.,LAC,SG,17.1,6.5,5.9
Zaccharie Risacher,ATL,SF,17.1,5.3,1.9
