Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Zach LaVine,29,2TM,SF,54,54,1865,8.9,17.5,0.509,3.3,7.6,0.434,5.6,9.9,0.566,0.603,3.6,4.4,0.818,0.3,4.5,4.8,4.6,1,0.2,3,1.5,24.6
41,Zach LaVine,29,CHI,SF,42,42,1432,9.1,17.8,0.511,3.4,7.7,0.442,5.7,10.2,0.559,0.607,3.6,4.6,0.783,0.3,4.8,5.1,4.8,1,0.3,3,1.6,25.3
41,Zach LaVine,29,SAC,SG,12,12,433,8.1,16.2,0.5,2.9,7.2,0.403,5.2,9,0.578,0.59,3.2,3.7,0.865,0.2,3.7,3.9,4.2,1,0.1,2.7,1.2,22.3
42,Austin Reaves,26,LAL,SG,54,54,1851,6.3,14.3,0.441,2.6,7.4,0.351,3.7,6.9,0.536,0.531,4.5,5.2,0.865,0.9,3.6,4.5,6.2,1.2,0.3,2.5,2.1,19.8
43,Alperen Şengün,22,HOU,C,59,59,1848,8.7,17.6,0.494,0.4,1.5,0.267,8.4,16,0.525,0.506,4.4,6.4,0.688,3.8,8.2,12,5.6,1.3,0.9,2.9,3.3,22.1
44,Damian Lillard,34,MIL,PG,51,51,1847,7.8,17.2,0.453,3.5,9.1,0.385,4.3,8.1,0.531,0.555,6.3,6.8,0.926,0.5,4.1,4.6,7.2,1.2,0.2,2.9,1.7,25.4
45,Kentavious Caldwell-Pope,31,ORL,SG,61,61,1844,3.7,8.7,0.425,1.6,5.2,0.308,2.1,3.5,0.6,0.517,1.3,1.6,0.813,0.4,2,2.5,2.1,1.6,0.5,1,2.4,10.4
46,Coby White,24,CHI,SG,56,55,1841,7,16.2,0.432,3.3,9.1,0.363,3.7,7,0.529,0.534,3.3,3.7,0.892,0.4,3.4,3.7,4.9,1.1,0.2,2.5,2.4,20.7
47,Rudy Gobert,32,MIN,C,55,55,1831,4.6,7.1,0.648,0,0,0,4.6,7.1,0.648,0.648,2.6,3.9,0.667,3.8,7.5,11.3,2,0.7,1.7,1.5,2.6,11.9
48,Jaylen Brown,28,BOS,SF,52,52,1831,8.7,19,0.458,1.9,6,0.317,6.8,12.9,0.527,0.508,4.1,5.5,0.745,1.5,4.7,6.2,4.9,1.2,0.3,2.8,2.6,23.6
49,Donovan Mitchell,28,CLE,SG,58,58,1809,9.8,21.5,0.456,4.1,10.5,0.39,5.7,11,0.518,0.551,4.4,5.3,0.83,0.9,4.2,5,5.5,1.6,0.2,2.3,2.3,28.1
50,Kevin Durant,36,PHO,PF,49,49,1805,9.5,18.1,0.525,2.4,6,0.4,7.2,12.1,0.595,0.591,4.8,5.8,0.828,0.4,5.5,5.9,4.1,0.9,1.3,2.9,1.7,26.2
51,Kyrie Irving,32,DAL,SG,50,50,1804,8.9,18.9,0.471,2.9,7.2,0.403,6,11.7,0.513,0.548,3.9,4.3,0.907,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2,24.6
52,Bub Carrington,19,WAS,PG,61,42,1799,4.1,10.2,0.402,2,5.7,0.351,2.1,4.5,0.467,0.5,1,1.2,0.833,0.5,4.4,4.9,4.9,0.9,0.3,1.9,2.8,11.2
53,Nikola Vučević,34,CHI,C,56,56,1799,8.7,16.4,0.53,2,5.1,0.392,6.8,11.3,0.602,0.591,2,2.4,0.833,2.6,8.9,11.5,3.8,1,0.7,1.9,2.7,21.4
54,Jarrett Allen,26,CLE,C,62,62,1765,7,9.9,0.707,0,0.1,0,7,9.8,0.714,0.707,3,4,0.75,3.4,9.6,13,2.5,1.1,1.2,1.5,1.9,17
55,0z Reid,25,MIN,C,63,16,1761,7.1,15.3,0.464,2.9,7.6,0.382,4.1,7.7,0.532,0.559,2,2.6,0.769,1.5,6.4,7.9,2.8,1,1.2,1.7,3.1,19.1
56,Darius Garland,25,CLE,PG,58,58,1758,8.9,18.6,0.478,3.5,8.4,0.417,5.4,10.2,0.529,0.573,3.6,4.1,0.878,0.7,2.3,3,8,1.4,0.2,2.9,2.4,25
57,Payton Pritchard,27,BOS,PG,62,0,1747,6.5,13.5,0.481,4.3,10.1,0.426,2.2,3.5,0.629,0.641,1.2,1.4,0.857,1.7,3.2,4.9,4.5,1.1,0.2,1.2,2,18.4
58,Tyus Jones,28,PHO,PG,61,56,1747,4.8,10.8,0.444,2.5,6.2,0.403,2.3,4.6,0.5,0.56,0.9,1.1,0.818,0.6,2.4,3.1,7.3,1.1,0.1,1.7,1.1,13.1
59,Stephen Curry,36,GSW,PG,54,54,1736,9.1,20.2,0.45,5,12.5,0.4,4.1,7.6,0.539,0.574,4.1,4.4,0.932,0.6,4.4,5,7,1.2,0.5,3.2,1.5,27.3
60,Malik Beasley,28,DET,SG,63,14,1734,7.6,17.1,0.444,5.2,12.4,0.419,2.3,4.8,0.479,0.596,1.4,2.1,0.667,0.7,2.9,3.6,2.2,1.2,0.1,1.3,2,21.7
61,Jaren Jackson Jr.,25,MEM,C,59,59,1732,10,20.2,0.495,2.3,6.3,0.365,7.7,13.9,0.554,0.552,5.5,7.1,0.775,1.6,5.5,7.2,2.6,1.5,2,2.6,4.1,27.9
62,Chris Paul,39,SAS,PG,60,60,1722,3.7,9,0.411,2.2,5.9,0.373,1.6,3.1,0.516,0.533,1.6,1.7,0.941,0.6,4.1,4.7,10,1.7,0.3,1.9,2.3,11.2
63,Josh Giddey,22,CHI,PG,58,58,1717,6,13.1,0.458,1.8,4.8,0.375,4.2,8.3,0.506,0.527,2.5,3.2,0.781,2.2,7.1,9.2,8.1,1.3,0.8,3.3,2.1,16.2
64,Bennedict Mathurin,22,IND,SF,55,44,1695,6.6,14,0.471,1.6,4.7,0.34,5,9.3,0.538,0.529,4,4.8,0.833,1.4,5,6.4,2.2,0.7,0.5,2.2,2.7,18.9
65,Malik Monk,26,SAC,SG,52,39,1688,7.2,16.4,0.439,2.4,7.5,0.32,4.8,8.9,0.539,0.512,2.7,3,0.9,0.5,3.8,4.2,6.5,1.1,0.7,2.6,2.9,19.6
66,Deni Avdija,24,POR,SF,59,41,1686,6.1,13.3,0.459,1.8,5.3,0.34,4.4,8,0.55,0.526,4.6,6,0.767,1.6,6.5,8,4.5,1.2,0.6,3.1,3,18.6
67,Trey Murphy III,24,NOP,SF,47,45,1678,7.4,16.3,0.454,3.2,8.6,0.372,4.2,7.6,0.553,0.552,4,4.5,0.889,0.9,4.3,5.2,3.8,1.2,0.8,1.9,2.2,22
68,Luguentz Dort,25,OKC,SF,58,58,1677,4.3,10.2,0.422,2.7,7,0.386,1.6,3.2,0.5,0.554,0.7,0.9,0.778,1.7,3.4,5.1,2.1,1.4,0.7,0.8,3.8,12
69,Tim Hardaway Jr.,32,DET,SG,59,59,1667,4.4,10.8,0.407,2.6,7.3,0.356,1.7,3.5,0.486,0.528,1.9,2.3,0.826,0.3,2.7,3,2.1,0.6,0.1,0.9,1.6,13.3
70,Myles Turner,28,IND,C,54,54,1665,6.4,13.4,0.478,2.6,6.4,0.406,3.8,7,0.543,0.575,2.8,3.6,0.778,1.3,6.3,7.6,1.9,1,2.2,2.1,3.2,18.2
71,Shaedon Sharpe,21,POR,SG,55,35,1663,7.9,17.4,0.454,2.4,7.4,0.324,5.5,10.1,0.545,0.523,2.9,3.6,0.806,1,3.8,4.7,3.1,0.9,0.3,2.2,2,21
72,Julius Randle,30,MIN,PF,51,51,1662,7.3,15.5,0.471,1.6,5.1,0.314,5.7,10.4,0.548,0.523,4.7,5.7,0.825,2.4,5.6,8,5,0.8,0.2,3.1,2.8,20.9
73,Giannis Antetokounmpo,30,MIL,PF,49,49,1661,13,21.5,0.605,0.2,0.9,0.222,12.8,20.5,0.624,0.609,6.5,11,0.591,2.4,10.5,12.9,6.3,0.8,1.3,3.5,2.7,32.7
74,Evan Mobley,23,CLE,PF,55,55,1657,8.6,15.1,0.57,1.3,3.4,0.382,7.3,11.6,0.629,0.613,3.8,5.2,0.731,2.8,8.4,11.2,3.6,1,1.9,2.4,2.5,22.2
75,Scottie Barnes,23,TOR,PF,48,48,1654,7.8,17.4,0.448,1.3,5,0.26,6.5,12.4,0.524,0.486,3.7,4.7,0.787,1.7,6.5,8.1,6.4,1.5,1.1,3,2.1,20.6
76,Harrison Barnes,32,SAS,PF,60,60,1644,5.1,10.5,0.486,2.2,5.3,0.415,2.9,5.2,0.558,0.59,2.5,3.2,0.781,1.7,3.4,5.2,2.3,0.4,0.2,0.7,1.2,15
